task,category,difficulty,agent,model,effort,passed,duration_seconds,agent_termination,input_tokens,output_tokens,cache_read_tokens,cache_write_tokens,prompt_tokens,total_tokens,cost_usd,list_cost_usd,files_changed,insertions,deletions,face_value,points,graders,grader_summaries,run_id
composition-003,composition,9,opencode,openrouter/z-ai/glm-5.3-flash,max,false,1049.8,completed,25316,454,28416,0,53732,57786,0.0139,0.0024,0,0,0,2000,,build=P;xctest=F;xcuitest=F;trajectory=P,"build:xcodebuild build succeeded for scheme 'TripPlannerFixture' | xctest:8 executed, 4 passed, 4 failed, 0 skipped. Failing: TripNavigationTests/testAStopLinkCannotSelectAStopFromAnotherTrip(), TripPlannerStoreTests/testOrderingAndFavoritesSurviveReopeningTheDiskStore(), TripPlannerStoreTests/testReorderAndRemovalPreserveTheOtherStopsAndChooseTheNextSelection(), TripNavigationTests/testTripAndStopLinksResolveByStableIDs() | xcuitest:5 executed, 0 passed, 5 failed, 0 skipped. Failing: TripPlannerJourneyTests/testCreateFavoriteAndStopSurviveRelaunch(), TripPlannerJourneyTests/testRemovingTheCurrentStopRetainsAVisibleSelectionAndOtherStops(), TripPlannerJourneyTests/testReorderingStopsIsReachableAndPersistsAfterRelaunch(), TripPlannerJourneyTests/testSeededTripCanBeOpenedAndViewedOnTheMap(), TripPlannerJourneyTests/testWarmAndColdLinksOpenTheCorrectTripAndUnknownLinksRecover() | trajectory:The agent's recorded commands show the work behind the deliverable (1 command(s))",2026-09-16T045818-composition-003-opencode
composition-004,composition,9,opencode,openrouter/z-ai/glm-5.3-flash,max,false,3319.3,completed,293054,18734,2165248,0,2458302,367694,0.0975,0.0591,3,274,16,800,,build=P;xctest=F;xcuitest=P;trajectory=P,"build:xcodebuild build succeeded for scheme 'AudioLessonsFixture' | xctest:12 executed, 9 passed, 3 failed, 0 skipped. Failing: AudioLessonJourneysTests/testCompletionAdvancesOnceToTheNextQueuedLesson(), AudioPlaybackContractTests/testFinishedLastLessonCanBePlayedAgainFromBeginning(), AudioPlaybackContractTests/testTwoQueuedLessonsIgnoreAStaleCompletionAndAdvanceExactlyOnce() | xcuitest:3 executed, 3 passed, 0 failed, 0 skipped | trajectory:The agent's recorded commands show the work behind the deliverable (24 command(s))",2026-09-16T051552-composition-004-opencode
composition-005,composition,9,opencode,openrouter/z-ai/glm-5.3-flash,max,false,1205.4,completed,255513,10611,1622080,0,1877593,292690,0.1056,0.0461,2,359,24,800,,build=P;xctest=F;xcuitest=F;trajectory=P,"build:xcodebuild build succeeded for scheme 'ReadingInboxFixture' | xctest:0 executed, 0 passed, 0 failed, 0 skipped. Tests failed to compile: ReadingInboxWorkflowTests.swift: value of type 'InboxArticle?' has no member 'contains' | xcuitest:0 executed, 0 passed, 0 failed, 0 skipped. Tests failed to compile: ReadingInboxWorkflowTests.swift: value of type 'InboxArticle?' has no member 'contains' | trajectory:The agent's recorded commands show the work behind the deliverable (31 command(s))",2026-09-16T061115-composition-005-opencode
concurrency-001,frameworks,5,opencode,openrouter/z-ai/glm-5.3-flash,max,true,144.3,completed,11601,1946,120320,0,131921,14139,0.0033,0.0032,1,2,4,100,100,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'Concurrency001Fixture' | xctest:2 executed, 2 passed, 0 failed, 0 skipped",2026-09-07T213052-concurrency-001-opencode
concurrency-002,frameworks,6,opencode,openrouter/z-ai/glm-5.3-flash,max,true,160.4,completed,18842,2066,116224,0,135066,22642,0.0041,0.0037,1,9,3,100,100,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'Concurrency002Fixture' | xctest:3 executed, 3 passed, 0 failed, 0 skipped",2026-09-07T213317-concurrency-002-opencode
concurrency-003,frameworks,7,opencode,openrouter/z-ai/glm-5.3-flash,max,true,220.9,completed,17859,1829,93248,0,111107,22860,0.0040,0.0032,1,3,1,114,114,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'Concurrency003Fixture' | xctest:3 executed, 3 passed, 0 failed, 0 skipped",2026-09-09T100643-concurrency-003-opencode
concurrency-004,frameworks,6,opencode,openrouter/z-ai/glm-5.3-flash,max,true,639.6,completed,38252,3701,340032,0,378284,52963,0.0116,0.0089,2,137,9,114,114,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'Concurrency004Fixture' | xctest:2 executed, 2 passed, 0 failed, 0 skipped",2026-09-09T101024-concurrency-004-opencode
concurrency-005,frameworks,5,opencode,openrouter/z-ai/glm-5.3-flash,max,true,173.1,completed,11824,1842,85376,0,97200,15787,0.0032,0.0026,1,5,5,100,100,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'Concurrency005Fixture' | xctest:3 executed, 3 passed, 0 failed, 0 skipped",2026-09-08T070102-concurrency-005-opencode
concurrency-006,frameworks,4,opencode,openrouter/z-ai/glm-5.3-flash,max,true,534.1,completed,16398,959,60160,0,76558,18889,0.0033,0.0024,1,1,1,100,100,build=P;xctest=P;file=P;trajectory=P,"build:xcodebuild build succeeded for scheme 'Concurrency006Fixture' | xctest:2 executed, 2 passed, 0 failed, 0 skipped | file:1 file assertion(s) satisfied | trajectory:The agent's recorded commands show the work behind the deliverable (8 command(s))",2026-09-16T204328-concurrency-006-opencode
concurrency-007,frameworks,7,opencode,openrouter/z-ai/glm-5.3-flash,max,true,342.6,completed,42374,1725,102272,0,144646,45928,0.0056,0.0051,1,8,5,100,100,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'Concurrency007Fixture' | xctest:2 executed, 2 passed, 0 failed, 0 skipped",2026-09-08T070747-concurrency-007-opencode
concurrency-008,frameworks,3,opencode,openrouter/z-ai/glm-5.3-flash,max,true,187.3,completed,11828,1911,87872,0,99700,15273,0.0061,0.0027,1,6,2,114,114,build=P;xctest=P;runtime=P,"build:xcodebuild build succeeded for scheme 'ConcurrencyCancellationFixture' | xctest:2 executed, 2 passed, 0 failed, 0 skipped | runtime:Process survived 5s observation window",2026-09-15T071600-concurrency-008-opencode
concurrency-009,frameworks,8,opencode,openrouter/z-ai/glm-5.3-flash,max,true,95.5,completed,24409,656,32704,0,57113,25259,0.0025,0.0025,1,4,0,100,100,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'Concurrency009Fixture' | xctest:4 executed, 4 passed, 0 failed, 0 skipped",2026-09-08T171312-concurrency-009-opencode
concurrency-010,frameworks,10,opencode,openrouter/z-ai/glm-5.3-flash,max,true,304.6,completed,154898,3512,103808,0,258706,163969,0.0154,0.0141,1,74,14,133,133,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'Concurrency010Fixture' | xctest:9 executed, 9 passed, 0 failed, 0 skipped",2026-09-08T171449-concurrency-010-opencode
concurrency-011,frameworks,9,opencode,openrouter/z-ai/glm-5.3-flash,max,true,191.1,completed,39842,3207,84032,0,123874,44411,0.0072,0.0051,1,39,8,160,160,build=P;xctest=P;trajectory=P,"build:xcodebuild build succeeded for scheme 'Concurrency011Fixture' | xctest:5 executed, 5 passed, 0 failed, 0 skipped | trajectory:The agent's recorded commands show the work behind the deliverable (7 command(s))",2026-09-16T063447-concurrency-011-opencode
concurrency-012,frameworks,10,opencode,openrouter/z-ai/glm-5.3-flash,max,true,101.7,completed,24470,1023,25792,0,50262,26174,0.0053,0.0025,1,16,6,160,160,build=P;xctest=P;trajectory=P,"build:xcodebuild build succeeded for scheme 'Concurrency012Fixture' | xctest:5 executed, 5 passed, 0 failed, 0 skipped | trajectory:The agent's recorded commands show the work behind the deliverable (3 command(s))",2026-09-16T063759-concurrency-012-opencode
concurrency-013,frameworks,8,opencode,openrouter/z-ai/glm-5.3-flash,max,true,145.1,completed,34424,2367,97088,0,131512,37775,0.0049,0.0046,1,26,8,160,160,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'Concurrency013Fixture' | xctest:5 executed, 5 passed, 0 failed, 0 skipped",2026-09-08T174129-concurrency-013-opencode
concurrency-014,frameworks,8,opencode,openrouter/z-ai/glm-5.3-flash,max,true,365.3,completed,38833,2401,138944,0,177777,47360,0.0143,0.0056,1,1,1,160,160,build=P;xctest=P;trajectory=P,"build:xcodebuild build succeeded for scheme 'Concurrency014Fixture' | xctest:5 executed, 5 passed, 0 failed, 0 skipped | trajectory:The agent's recorded commands show the work behind the deliverable (11 command(s))",2026-09-16T063942-concurrency-014-opencode
coredata-001,frameworks,3,opencode,openrouter/z-ai/glm-5.3-flash,max,true,107.8,completed,18347,455,38848,0,57195,18911,0.0021,0.0021,1,1,1,100,100,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'CoreDataNotesFixture' | xctest:1 executed, 1 passed, 0 failed, 0 skipped",2026-09-07T193914-coredata-001-opencode
coredata-002,frameworks,5,opencode,openrouter/z-ai/glm-5.3-flash,max,true,302.5,completed,21294,2592,240704,0,261998,28487,0.0070,0.0059,1,17,0,160,160,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'CoreDataSaveFixture' | xctest:1 executed, 1 passed, 0 failed, 0 skipped",2026-09-07T194102-coredata-002-opencode
coredata-003,frameworks,8,opencode,openrouter/z-ai/glm-5.3-flash,max,true,185.3,completed,24095,2155,131136,0,155231,27484,0.0046,0.0043,1,3,0,133,133,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'Coredata003Fixture' | xctest:2 executed, 2 passed, 0 failed, 0 skipped",2026-09-08T071822-coredata-003-opencode
coredata-004,frameworks,7,opencode,openrouter/z-ai/glm-5.3-flash,max,true,779.6,completed,45577,12016,801472,0,847049,69131,0.0213,0.0184,2,2,0,133,133,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'Coredata004Fixture' | xctest:2 executed, 2 passed, 0 failed, 0 skipped",2026-09-09T120215-coredata-004-opencode
coredata-005,frameworks,6,opencode,openrouter/z-ai/glm-5.3-flash,max,true,853.2,completed,102350,6344,1124288,0,1226638,121960,0.0294,0.0261,4,93,2,160,160,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'Coredata005Fixture' | xctest:2 executed, 2 passed, 0 failed, 0 skipped",2026-09-08T073729-coredata-005-opencode
coredata-006,frameworks,7,opencode,openrouter/z-ai/glm-5.3-flash,max,true,150.1,completed,24870,578,23808,0,48678,25825,0.0025,0.0024,1,2,1,100,100,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'Coredata006Fixture' | xctest:2 executed, 2 passed, 0 failed, 0 skipped",2026-09-08T075143-coredata-006-opencode
coredata-007,frameworks,3,opencode,openrouter/z-ai/glm-5.3-flash,max,true,119.1,completed,17470,1554,83584,0,101054,19523,0.0031,0.0030,1,3,1,100,100,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'Coredata007Fixture' | xctest:3 executed, 3 passed, 0 failed, 0 skipped",2026-09-08T075420-coredata-007-opencode
coredata-008,frameworks,5,opencode,openrouter/z-ai/glm-5.3-flash,max,true,141.0,completed,26864,1085,42112,0,68976,28623,0.0031,0.0029,1,0,1,100,100,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'Coredata008Fixture' | xctest:3 executed, 3 passed, 0 failed, 0 skipped",2026-09-08T075620-coredata-008-opencode
coredata-009,frameworks,5,opencode,openrouter/z-ai/glm-5.3-flash,max,true,371.5,completed,36381,2920,126272,0,162653,40108,0.0056,0.0054,1,1,1,100,100,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'Coredata009Fixture' | xctest:2 executed, 2 passed, 0 failed, 0 skipped",2026-09-08T075842-coredata-009-opencode
coredata-010,frameworks,6,opencode,openrouter/z-ai/glm-5.3-flash,max,true,980.9,timeout,53223,6283,666176,0,719399,87834,0.0226,0.0156,1,66,1,175,175,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'Coredata010Fixture' | xctest:2 executed, 2 passed, 0 failed, 0 skipped",2026-09-09T121516-coredata-010-opencode
g2-a11y-001,visual,7,opencode,openrouter/z-ai/glm-5.3-flash,max,true,400.7,completed,152177,2297,83712,0,235889,156363,0.0137,0.0132,1,4,2,100,100,uiflow=P;uiflow=P;file=P,uiflow:4 UI assertion(s) hold in default | uiflow:5 UI assertion(s) hold in content-size=accessibility-extra-extra-extra-large | file:1 file assertion(s) satisfied,2026-09-09T102105-g2-a11y-001-opencode
g2-a11y-002,visual,7,opencode,openrouter/z-ai/glm-5.3-flash,max,true,1168.6,completed,228100,4046,288384,0,516484,236560,0.0314,0.0224,1,33,18,200,200,uiflow=P;uiflow=P;file=P;trajectory=P,uiflow:4 UI assertion(s) hold in default | uiflow:7 UI assertion(s) hold in content-size=accessibility-extra-extra-extra-large | file:2 file assertion(s) satisfied | trajectory:The agent's recorded commands show the work behind the deliverable (20 command(s)),2026-09-16T064548-g2-a11y-002-opencode
g2-flow-002,interaction,8,opencode,openrouter/z-ai/glm-5.3-flash,max,true,237.8,completed,14790,1731,83968,0,98758,19264,0.0035,0.0028,1,1,1,114,114,uiflow=P;file=P,uiflow:2 UI assertion(s) hold in default | file:1 file assertion(s) satisfied,2026-09-09T090243-g2-flow-002-opencode
g2-flow-003,interaction,7,opencode,openrouter/z-ai/glm-5.3-flash,max,true,246.5,completed,13775,1452,59584,0,73359,16179,0.0025,0.0023,1,1,1,114,114,uiflow=P;uiflow=P;uiflow=P,uiflow:3 UI assertion(s) hold in default | uiflow:1 UI assertion(s) hold in default | uiflow:1 UI assertion(s) hold in default,2026-09-09T090644-g2-flow-003-opencode
g2-lifecycle-002,runtime,9,opencode,openrouter/z-ai/glm-5.3-flash,max,true,279.9,completed,13390,1438,71680,0,85070,18957,0.0035,0.0024,2,31,8,200,200,uiflow=P;uiflow=P,uiflow:1 UI assertion(s) hold in default | uiflow:2 UI assertion(s) hold in default,2026-09-09T141937-g2-lifecycle-002-opencode
g2-locale-001,frameworks,8,opencode,openrouter/z-ai/glm-5.3-flash,max,true,782.0,completed,104370,1727,72576,0,176946,112746,0.0110,0.0093,1,9,7,200,200,uiflow=P;uiflow=P,uiflow:1 UI assertion(s) hold in language=en locale=en_US | uiflow:1 UI assertion(s) hold in language=sv locale=sv_SE,2026-09-08T085644-g2-locale-001-opencode
g2-locale-002,frameworks,9,opencode,openrouter/z-ai/glm-5.3-flash,max,true,879.5,completed,80662,3080,285248,0,365910,92907,0.0134,0.0111,1,3,1,100,100,uiflow=P;uiflow=P;file=P,uiflow:4 UI assertion(s) hold in language=en locale=en_US | uiflow:6 UI assertion(s) hold in language=tr locale=tr_TR | file:2 file assertion(s) satisfied,2026-09-08T090951-g2-locale-002-opencode
g2-locale-003,frameworks,8,opencode,openrouter/z-ai/glm-5.3-flash,max,true,176.5,completed,45649,1648,15936,0,61585,47584,0.0055,0.0041,1,26,10,160,160,uiflow=P;uiflow=P;file=P;trajectory=P,uiflow:3 UI assertion(s) hold in language=en locale=en_US | uiflow:4 UI assertion(s) hold in language=sv locale=sv_SE | file:2 file assertion(s) satisfied | trajectory:The agent's recorded commands show the work behind the deliverable (4 command(s)),2026-09-16T070521-g2-locale-003-opencode
g2-locale-004,frameworks,9,opencode,openrouter/z-ai/glm-5.3-flash,max,true,333.7,completed,23965,2629,103680,0,127645,31080,0.0051,0.0040,1,21,8,114,114,uiflow=P;uiflow=P;file=P,uiflow:2 UI assertion(s) hold in language=en locale=en_US | uiflow:2 UI assertion(s) hold in language=de locale=de_DE | file:2 file assertion(s) satisfied,2026-09-09T142421-g2-locale-004-opencode
g2-order-001,interaction,9,opencode,openrouter/z-ai/glm-5.3-flash,max,true,355.9,completed,78789,3131,56256,0,135045,83652,0.0106,0.0075,1,7,3,133,133,uiflow=P;uiflow=P;uiflow=P;file=P;trajectory=P,uiflow:1 UI assertion(s) hold in default | uiflow:1 UI assertion(s) hold in default | uiflow:1 UI assertion(s) hold in default | file:2 file assertion(s) satisfied | trajectory:The agent's recorded commands show the work behind the deliverable (6 command(s)),2026-09-16T070822-g2-order-001-opencode
g2-order-002,interaction,9,opencode,openrouter/z-ai/glm-5.3-flash,max,true,200.8,completed,12933,2342,125056,0,137989,16657,0.0050,0.0034,1,9,2,133,133,uiflow=P;uiflow=P;trajectory=P,uiflow:2 UI assertion(s) hold in default | uiflow:5 UI assertion(s) hold in default | trajectory:The agent's recorded commands show the work behind the deliverable (6 command(s)),2026-09-16T071423-g2-order-002-opencode
g2-visual-001,visual,8,opencode,openrouter/z-ai/glm-5.3-flash,max,true,1970.5,timeout,353478,11830,2314816,0,2668294,403369,0.0983,0.0642,1,7,10,114,114,uiflow=P;uiflow=P;file=P;trajectory=P,uiflow:5 UI assertion(s) hold in language=en locale=en_US | uiflow:7 UI assertion(s) hold in language=ar locale=ar_SA | file:3 file assertion(s) satisfied | trajectory:The agent's recorded commands show the work behind the deliverable (24 command(s)),2026-09-16T071748-g2-visual-001-opencode
g2-visual-002,visual,7,opencode,openrouter/z-ai/glm-5.3-flash,max,true,937.2,completed,187653,5287,708032,0,895685,200227,0.0371,0.0260,1,7,5,160,160,uiflow=P;uiflow=P;trajectory=P,uiflow:5 UI assertion(s) hold in default | uiflow:6 UI assertion(s) hold in defaultthen orientation=landscape-left | trajectory:The agent's recorded commands show the work behind the deliverable (26 command(s)),2026-09-16T075045-g2-visual-002-opencode
g2-visual-003,visual,7,opencode,openrouter/z-ai/glm-5.3-flash,max,true,302.9,completed,44313,1785,121664,0,165977,50346,0.0089,0.0056,1,19,2,100,100,uiflow=P;uiflow=P;file=P;trajectory=P,uiflow:3 UI assertion(s) hold in appearance=light | uiflow:2 UI assertion(s) hold in default | file:1 file assertion(s) satisfied | trajectory:The agent's recorded commands show the work behind the deliverable (9 command(s)),2026-09-16T080626-g2-visual-003-opencode
healthkit-001,frameworks,6,opencode,openrouter/z-ai/glm-5.3-flash,max,true,689.8,completed,182139,5272,617792,0,799931,195376,0.0350,0.0242,4,81,5,200,200,build=P;xcodeproj=P;xctest=P;file=P;trajectory=P,"build:xcodebuild build succeeded for scheme 'Healthkit001Fixture' | xcodeproj:1 project assertion(s) hold in the resolved configuration | xctest:3 executed, 3 passed, 0 failed, 0 skipped | file:1 file assertion(s) satisfied | trajectory:The agent's recorded commands show the work behind the deliverable (22 command(s))",2026-09-16T081134-healthkit-001-opencode
interaction-001,interaction,1,opencode,openrouter/z-ai/glm-5.3-flash,max,true,275.4,completed,37914,769,53568,0,91482,39002,0.0052,0.0038,2,2,2,100,100,build=P;file=P;xcuitest=P;mutation=P;trajectory=P,"build:xcodebuild build succeeded for scheme 'CartFixture' | file:1 file assertion(s) satisfied | xcuitest:1 executed, 1 passed, 0 failed, 0 skipped | mutation:The tests failed against a deliberately broken app, so they test the behaviour they claim (Sources/CartStore.swift: every match of /lines\.append\(product\)/ rewritten; Sources/CatalogView.swift: every match of /\b[A-Za-z_][A-Za-z0-9_]*\.add\(product\)/ rewritten) | trajectory:The agent's recorded commands show the work behind the deliverable (5 command(s))",2026-09-16T082304-interaction-001-opencode
interaction-002,interaction,2,opencode,openrouter/z-ai/glm-5.3-flash,max,true,1069.2,completed,33486,846,91264,0,124750,34631,0.0083,0.0041,1,1,1,100,100,build=P;file=P;xcuitest=P;mutation=P;trajectory=P,"build:xcodebuild build succeeded for scheme 'SearchFixture' | file:1 file assertion(s) satisfied | xcuitest:2 executed, 2 passed, 0 failed, 0 skipped | mutation:The tests failed against a deliberately broken app, so they test the behaviour they claim (Sources/PartsSearchView.swift: every match of /return parts\.filter \{ \$0\.localizedCaseInsensitiveContains\(trimmed\) \}/ rewritten; Sources/PartsSearchView.swift: every match of /(results\s*=\s*)(?:Self|PartsSearchView)\.filter\([^\n]*\)/ rewritten) | trajectory:The agent's recorded commands show the work behind the deliverable (8 command(s))",2026-09-16T082744-interaction-002-opencode
interaction-003,interaction,3,opencode,openrouter/z-ai/glm-5.3-flash,max,true,292.9,completed,53992,737,29120,0,83112,54786,0.0094,0.0047,1,1,0,100,100,build=P;file=P;xcuitest=P;mutation=P;trajectory=P,"build:xcodebuild build succeeded for scheme 'RefreshFixture' | file:1 file assertion(s) satisfied | xcuitest:1 executed, 1 passed, 0 failed, 0 skipped | mutation:The tests failed against a deliberately broken app, so they test the behaviour they claim (Sources/ReportModel.swift: every match of /status\s*=\s*""Refreshed""/ rewritten; Sources/ReportService.swift: every match of /pass \\\(generation\)/ rewritten) | trajectory:The agent's recorded commands show the work behind the deliverable (5 command(s))",2026-09-16T084538-interaction-003-opencode
interaction-004,interaction,4,opencode,openrouter/z-ai/glm-5.3-flash,max,true,865.0,completed,42991,1535,81728,0,124719,45256,0.0067,0.0048,1,6,19,100,100,build=P;xcuitest=P;file=P;mutation=P;trajectory=P,"build:xcodebuild build succeeded for scheme 'FormFlowFixture' | xcuitest:2 executed, 2 passed, 0 failed, 0 skipped | file:1 file assertion(s) satisfied | mutation:The tests failed against a deliberately broken app, so they test the behaviour they claim (Sources/EnrolmentFlowView.swift: every match of /\.accessibilityIdentifier\(\s*""full-name""\s*\)/ rewritten) | trajectory:The agent's recorded commands show the work behind the deliverable (6 command(s))",2026-09-16T085035-interaction-004-opencode
interaction-005,interaction,5,opencode,openrouter/z-ai/glm-5.3-flash,max,true,593.2,completed,170005,7198,464128,0,634133,183089,0.0306,0.0215,4,301,0,200,200,trajectory=P;build=P;xcuitest=P;file=P,"trajectory:The agent's recorded commands show the work behind the deliverable (10 command(s)) | build:xcodebuild build succeeded for scheme 'GestureFixture' | xcuitest:1 executed, 1 passed, 0 failed, 0 skipped | file:9 file assertion(s) satisfied",2026-09-16T105821-interaction-005-opencode
mapkit-001,frameworks,4,opencode,openrouter/z-ai/glm-5.3-flash,max,true,437.5,completed,57604,4188,151424,0,209028,71634,0.0101,0.0076,1,4,1,100,100,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'Mapkit001Fixture' | xctest:3 executed, 3 passed, 0 failed, 0 skipped",2026-09-08T111225-mapkit-001-opencode
networking-001,frameworks,4,opencode,openrouter/z-ai/glm-5.3-flash,max,true,311.7,completed,24440,2444,235904,0,260344,32450,0.0074,0.0060,1,6,1,100,100,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'Networking001Fixture' | xctest:3 executed, 3 passed, 0 failed, 0 skipped",2026-09-08T111945-networking-001-opencode
networking-002,frameworks,3,opencode,openrouter/z-ai/glm-5.3-flash,max,true,140.2,completed,19216,961,54400,0,73616,20617,0.0026,0.0025,1,1,1,100,100,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'Networking002Fixture' | xctest:3 executed, 3 passed, 0 failed, 0 skipped",2026-09-08T112458-networking-002-opencode
networking-003,frameworks,6,opencode,openrouter/z-ai/glm-5.3-flash,max,true,95.4,completed,25147,461,14784,0,39931,26408,0.0024,0.0022,1,3,0,100,100,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'Networking003Fixture' | xctest:3 executed, 3 passed, 0 failed, 0 skipped",2026-09-08T112719-networking-003-opencode
networking-004,frameworks,4,opencode,openrouter/z-ai/glm-5.3-flash,max,true,114.8,completed,19595,1149,38720,0,58315,21466,0.0025,0.0023,1,4,0,114,114,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'Networking004Fixture' | xctest:2 executed, 2 passed, 0 failed, 0 skipped",2026-09-08T112856-networking-004-opencode
